abbreviation	meaning
a	append
a	array, list, slice
abbr	abbreviation
arc	archive
arr	array
aud	audio
avg	average
b	byte
bak	backup
bg	background
bib	bibliography
bin	binary
bin	executable
blk	block
c	char
c	count
cal	calendar
calc	calculate
char	character
cnt	count
conf	configuration
d	data
dat	data
dec	decimal
desc	description
dev	device
diff	difference
dir	directory
dist	distance
dist	distribute
doc	document
doc	documentation
dur	duration
e	error
eco	ecological
econ	economics
ed	edit
edu	education
env	environment
err	error
exe	executable
exe	execute
f	file
fic	fiction
fn	function
fname	file name
gi	Genshin Impact
hist	history
i	index
idx	index
img	image
k	key
l	left
len	length
lit	literature
ln	line
ls	list
m	map
mc	main character
med	media
mid	middle
mk	make
mus	music
mv	move
n	new
n	number
num	number
o	object
o	old
obj	object
opt	optimize
opt	optional
p	print
p	process
pol	politics
pos	position
ppl	people
prim	primative
priv	privacy
proc	process
prog	program
ptr	pointer
q	question
r	read
r	right
rd	read
ref	refactor
ref	refutation
req	request
req	require
res	response
res	result
rm	remove
s	string
scr	scrap
sec	security
seq	sequence
sj	social justice
soc	social
spi	spiritual
src	source
srv	server
std	standard
str	string
t	table
t	time
tech	technology
ts	timestamp
txt	text
u	user
v	value
var	variable
vid	video
w	write
x	x-axis, horizontal
y	y-axis, vertical
z	miscellaneous
